pick_date,parlay_rank,leg1_player,leg1_team,leg1_opponent,leg1_odds,leg1_probability,leg1_lineup_slot,leg2_player,leg2_team,leg2_opponent,leg2_odds,leg2_probability,leg2_lineup_slot,pair_type,same_team,same_game,same_pitcher_profile,same_hitter_side,same_team_regime,correlation_multiplier,raw_joint_probability,parlay_probability,combined_decimal_odds,combined_american_odds,market_joint_probability,parlay_edge,parlay_ev_per_dollar,parlay_predictor_score,confidence,recommendation,sample_notes,why_it_has_edge,risk_note,lock_status,locked_at,app_status,app_grade,earliest_game_start_local,earliest_minutes_to_game,lock_reason
2026-07-04,19,Miguel Vargas,CWS,CLE,-203.0,0.6823999999999999,1.0,Yordan Alvarez,HOU,TB,-232.0,0.7183,2.0,different_games,False,False,True,False,True,0.9179398687794712,0.49016792,0.4499446761647063,2.1359775777136063,114,0.4681697085371187,-0.0182250323724124,-0.0389282605005775,30.03352982679581,Watchlist,Pass,pair_type=different_games: 0.91x over 180114 pairs; same_game=False: 0.91x over 180205 pairs; same_pitcher_profile=True: 0.93x over 123329 pairs; same_hitter_side=False: 0.92x over 195557 pairs; same_team_regime=True: 0.92x over 115732 pairs,learned pair multiplier 0.92x; similar opposing pitcher profile bucket; same team-regime bucket,two-leg parlays compound normal hit-prop variance,LOCKED,2026-07-04T19:14:01.945610-04:00,BET CANDIDATE,Grade A - Predictor A,2026-07-04T19:10:00-04:00,-4.0,"Locked from Predictor A: probability >=44%, combined odds <=+140, and both legs not worse than -275. Locked because the earliest leg already reached/passed first pitch."
2026-07-05,5,Carlos Cortes,ATH,MIA,-164.0,0.6816249999999999,2.0,Sam Antonacci,CWS,CLE,-251.0,0.6992874999999998,1.0,different_games,False,False,True,False,True,0.9283125782554614,0.4766518421874998,0.4424819005512933,2.251093188222719,125,0.4442286108952775,-0.0017467103439842,-0.003932007757141,33.22642953716164,Watchlist,Pass,pair_type=different_games: 0.93x over 183786 pairs; same_game=False: 0.93x over 183880 pairs; same_pitcher_profile=True: 0.93x over 124613 pairs; same_hitter_side=False: 0.93x over 199561 pairs; same_team_regime=True: 0.93x over 117340 pairs,learned pair multiplier 0.93x; similar opposing pitcher profile bucket; same team-regime bucket,two-leg parlays compound normal hit-prop variance,LOCKED,2026-07-05T13:15:42.684195-04:00,BET CANDIDATE,Grade A - Predictor A,2026-07-05T14:00:00-04:00,44.3,"Locked from Predictor A: probability >=44%, combined odds <=+140, and both legs not worse than -275. Locked 44 minutes before the earliest leg."
2026-07-06,8,Edouard Julien,COL,LAD,-107.0,0.6346499999999999,1.0,Ketel Marte,AZ,SD,-261.0,0.7104125,1.0,different_games,False,False,True,False,False,0.9198525324330868,0.4508632931249999,0.4147277419621523,2.6757976152110863,168,0.3737203420450439,0.0410073999171083,0.1097275029042059,42.98130142266984,Watchlist,Pass,pair_type=different_games: 0.92x over 187442 pairs; same_game=False: 0.92x over 187531 pairs; same_pitcher_profile=True: 0.93x over 126988 pairs; same_hitter_side=False: 0.92x over 203567 pairs; same_team_regime=False: 0.91x over 83129 pairs,learned pair multiplier 0.92x; similar opposing pitcher profile bucket,one leg is expensive,LOCKED,2026-07-06T22:00:15.071375-04:00,PASS,No Grade - Predictor Watchlist,2026-07-06T21:40:00-04:00,-20.3,Locked as a pass/watchlist because no controlled-price parlay cleared the betting rules. Locked because the earliest leg already reached/passed first pitch.
2026-07-07,11,Bobby Witt Jr.,KC,NYM,-263.0,0.70955,2.0,Max Muncy (ATH),ATH,DET,-113.0,0.65425,4.95,different_games,False,False,True,False,True,0.9319689779230084,0.4642230875,0.4326415163856383,2.6016689659813586,160,0.3843686545351078,0.0482728618505304,0.1255900065756305,45.67397383800324,Lean,Parlay Predictor Bet,pair_type=different_games: 0.93x over 191045 pairs; same_game=False: 0.93x over 191141 pairs; same_pitcher_profile=True: 0.94x over 127935 pairs; same_hitter_side=False: 0.93x over 207570 pairs; same_team_regime=True: 0.92x over 122868 pairs,learned pair multiplier 0.93x; similar opposing pitcher profile bucket; same team-regime bucket,one leg is expensive,LOCKED,2026-07-07T19:09:24.649492-04:00,BET CANDIDATE,Grade B - Predictor B,2026-07-07T18:40:00-04:00,-29.4,Locked from Predictor B: controlled price at +160 or shorter. Locked because the earliest leg already reached/passed first pitch.
2026-07-08,11,Bobby Witt Jr.,KC,NYM,-263.0,0.70955,2.0,Max Muncy (ATH),ATH,DET,-113.0,0.65425,4.95,different_games,False,False,True,False,True,0.9319689779230084,0.4642230875,0.4326415163856383,2.6016689659813586,160,0.3843686545351078,0.0482728618505304,0.1255900065756305,45.67397383800324,Lean,Parlay Predictor Bet,pair_type=different_games: 0.93x over 191045 pairs; same_game=False: 0.93x over 191141 pairs; same_pitcher_profile=True: 0.94x over 127935 pairs; same_hitter_side=False: 0.93x over 207570 pairs; same_team_regime=True: 0.92x over 122868 pairs,learned pair multiplier 0.93x; similar opposing pitcher profile bucket; same team-regime bucket,one leg is expensive,LOCKED,2026-07-08T17:43:08.761735-04:00,BET CANDIDATE,Grade B - Predictor B,2026-07-08T18:40:00-04:00,56.9,Locked from Predictor B: controlled price at +160 or shorter. Locked 57 minutes before the earliest leg.
2026-07-09,11,Bobby Witt Jr.,KC,NYM,-263.0,0.70955,2.0,Max Muncy (ATH),ATH,DET,-113.0,0.65425,4.95,different_games,False,False,True,False,True,0.9319689779230084,0.4642230875,0.4326415163856383,2.6016689659813586,160,0.3843686545351078,0.0482728618505304,0.1255900065756305,45.67397383800324,Lean,Parlay Predictor Bet,pair_type=different_games: 0.93x over 191045 pairs; same_game=False: 0.93x over 191141 pairs; same_pitcher_profile=True: 0.94x over 127935 pairs; same_hitter_side=False: 0.93x over 207570 pairs; same_team_regime=True: 0.92x over 122868 pairs,learned pair multiplier 0.93x; similar opposing pitcher profile bucket; same team-regime bucket,one leg is expensive,LOCKED,2026-07-09T12:17:10.924541-04:00,BET CANDIDATE,Grade B - Predictor B,2026-07-09T13:10:00-04:00,52.8,Locked from Predictor B: controlled price at +160 or shorter. Locked 53 minutes before the earliest leg.
2026-07-10,11,Bobby Witt Jr.,KC,NYM,-263.0,0.70955,2.0,Max Muncy (ATH),ATH,DET,-113.0,0.65425,4.95,different_games,False,False,True,False,True,0.9319689779230084,0.4642230875,0.4326415163856383,2.6016689659813586,160,0.3843686545351078,0.0482728618505304,0.1255900065756305,45.67397383800324,Lean,Parlay Predictor Bet,pair_type=different_games: 0.93x over 191045 pairs; same_game=False: 0.93x over 191141 pairs; same_pitcher_profile=True: 0.94x over 127935 pairs; same_hitter_side=False: 0.93x over 207570 pairs; same_team_regime=True: 0.92x over 122868 pairs,learned pair multiplier 0.93x; similar opposing pitcher profile bucket; same team-regime bucket,one leg is expensive,LOCKED,2026-07-10T18:13:09.881977-04:00,BET CANDIDATE,Grade B - Predictor B,,,Locked from Predictor B: controlled price at +160 or shorter. Locked by 6:00 PM fallback because game-time matching was unavailable.
2026-07-11,11,Bobby Witt Jr.,KC,NYM,-263.0,0.70955,2.0,Max Muncy (ATH),ATH,DET,-113.0,0.65425,4.95,different_games,False,False,True,False,True,0.9319689779230084,0.4642230875,0.4326415163856383,2.6016689659813586,160,0.3843686545351078,0.0482728618505304,0.1255900065756305,45.67397383800324,Lean,Parlay Predictor Bet,pair_type=different_games: 0.93x over 191045 pairs; same_game=False: 0.93x over 191141 pairs; same_pitcher_profile=True: 0.94x over 127935 pairs; same_hitter_side=False: 0.93x over 207570 pairs; same_team_regime=True: 0.92x over 122868 pairs,learned pair multiplier 0.93x; similar opposing pitcher profile bucket; same team-regime bucket,one leg is expensive,LOCKED,2026-07-11T18:13:01.694080-04:00,BET CANDIDATE,Grade B - Predictor B,,,Locked from Predictor B: controlled price at +160 or shorter. Locked by 6:00 PM fallback because game-time matching was unavailable.
2026-07-12,11,Bobby Witt Jr.,KC,NYM,-263.0,0.70955,2.0,Max Muncy (ATH),ATH,DET,-113.0,0.65425,4.95,different_games,False,False,True,False,True,0.9319689779230084,0.4642230875,0.4326415163856383,2.6016689659813586,160,0.3843686545351078,0.0482728618505304,0.1255900065756305,45.67397383800324,Lean,Parlay Predictor Bet,pair_type=different_games: 0.93x over 191045 pairs; same_game=False: 0.93x over 191141 pairs; same_pitcher_profile=True: 0.94x over 127935 pairs; same_hitter_side=False: 0.93x over 207570 pairs; same_team_regime=True: 0.92x over 122868 pairs,learned pair multiplier 0.93x; similar opposing pitcher profile bucket; same team-regime bucket,one leg is expensive,LOCKED,2026-07-12T18:12:57.961894-04:00,BET CANDIDATE,Grade B - Predictor B,,,Locked from Predictor B: controlled price at +160 or shorter. Locked by 6:00 PM fallback because game-time matching was unavailable.
2026-07-13,11,Bobby Witt Jr.,KC,NYM,-263.0,0.70955,2.0,Max Muncy (ATH),ATH,DET,-113.0,0.65425,4.95,different_games,False,False,True,False,True,0.9319689779230084,0.4642230875,0.4326415163856383,2.6016689659813586,160,0.3843686545351078,0.0482728618505304,0.1255900065756305,45.67397383800324,Lean,Parlay Predictor Bet,pair_type=different_games: 0.93x over 191045 pairs; same_game=False: 0.93x over 191141 pairs; same_pitcher_profile=True: 0.94x over 127935 pairs; same_hitter_side=False: 0.93x over 207570 pairs; same_team_regime=True: 0.92x over 122868 pairs,learned pair multiplier 0.93x; similar opposing pitcher profile bucket; same team-regime bucket,one leg is expensive,LOCKED,2026-07-13T18:15:47.693435-04:00,BET CANDIDATE,Grade B - Predictor B,,,Locked from Predictor B: controlled price at +160 or shorter. Locked by 6:00 PM fallback because game-time matching was unavailable.
