lookup_date,player,team,opponent,sportsbook,odds,odds_source,opening_odds,current_snapshot_odds,odds_movement,odds_snapshot_count,batting_order,confirmed_lineup,lineup_status,lineup_source,opposing_pitcher,projected_pa,model_hit_probability,secondary_hit_probability,third_hit_probability,markov_hit_probability,edgestate_hit_probability,pa_path_hit_probability,swing_hit_probability,bookbias_model_probability,edge,grade,confidence,implied_probability,fair_odds,team_trust_picks,team_trust_hit_rate,team_trust_avg_probability,team_trust_gap,team_trust_adjustment,pitch_mix_matchup_score,pitch_mix_primary_pitch,pitch_mix_data_status,opponent_bullpen_fatigue_score,player_history_sample,player_history_hit_rate,player_history_avg_probability,player_history_gap,player_history_adjustment,pa_path_relative_value_score,pa_path_relative_rank,bookbias_recommendation,bookbias_signal_agreement,bookbias_key_reason,swing_recommendation,swing_key_reason,markov_signal,markov_state,edgestate_signal,edgestate_setup,edgestate_value_state,market_coverage_status,pa_path_notes,pa_path_pass_filter
2026-07-16,AJ Ewing,NYM,PHI,DraftKings,-234,PropLine,-226,-234,-8,8,3.78,False,Lineup Wait,,Aaron Nola,4.3,0.6289,0.6372,0.641,0.5664,0.6384,0.6609,0.6236,0.6206,-0.0717,Pass,Pass,0.7005988023952096,-169,436,0.578,0.6016,-0.0236,-0.0236,0.5123,CU,matched,,30,0.5333333333333333,0.5948429166666667,-0.06150958333333334,-0.06150958333333334,-6.48,18,Avoid / Overpriced,Strong Negative,market has historically overpriced similar buckets,Pass,no single dominant edge,Downgrade,Improving,Avoid/Fade,Weak,Overpriced,Covered,balanced PA path,True
2026-07-16,Bo Bichette,NYM,PHI,DraftKings,-260,PropLine,-265,-260,5,8,2.24,False,Lineup Wait,,Aaron Nola,4.47,0.6602,0.6657,0.6728,0.5977,0.6455,0.694,0.6466,0.6422,-0.062,Pass,Pass,0.7222222222222222,-194,436,0.578,0.6016,-0.0236,-0.0236,0.16803445,CU,matched,,46,0.6956521739130435,0.6458458333333333,0.04980634057971012,0.04980634057971012,10.05,13,Avoid / Overpriced,Strong Negative,market has historically overpriced similar buckets,Pass,no single dominant edge,Downgrade,Improving,Avoid/Fade,Neutral,Overpriced,Covered,balanced PA path,True
2026-07-16,Brett Baty,NYM,PHI,DraftKings,-143,PropLine,-138,-143,-5,8,4.67,False,Lineup Wait,,Aaron Nola,4.19,0.5778,0.6094,0.623,0.5128,0.5249,0.6443,0.5719,0.5085,-0.0107,Pass,Pass,0.588477366255144,-137,436,0.578,0.6016,-0.0236,-0.0236,0.0704493500000001,CU,matched,,36,0.5555555555555556,0.5683268518518518,-0.012771296296296253,-0.012771296296296253,30.14,1,Avoid / Overpriced,Strong Negative,market has historically overpriced similar buckets,Pass,no single dominant edge,Downgrade,Neutral,Avoid/Fade,Neutral,Fair,Covered,balanced PA path,True
2026-07-16,Carson Benge,NYM,PHI,DraftKings,-220,PropLine,-224,-220,4,8,1.59,False,Lineup Wait,,Aaron Nola,4.55,0.6399,0.6572,0.6659,0.5749,0.6304,0.7049,0.633,0.6075,-0.0476,Pass,Pass,0.6875,-178,436,0.578,0.6016,-0.0236,-0.0236,0.06059250000000003,CU,matched,,51,0.7254901960784313,0.6272715686274509,0.09821862745098042,0.08,20.56,5,Avoid / Overpriced,Strong Negative,market has historically overpriced similar buckets,Pass,PA opportunity,Downgrade,Neutral,Avoid/Fade,Neutral,Overpriced,Covered,balanced PA path,True
2026-07-16,Francisco Alvarez,NYM,PHI,DraftKings,-156,PropLine,-156,-156,0,8,5.0,False,Lineup Wait,,Aaron Nola,4.15,0.6158,0.628,0.6308,0.5508,0.5556,0.6551,0.6017,0.5294,0.0064,Pass,Pass,0.609375,-160,436,0.578,0.6016,-0.0236,-0.0236,0.07458015202702699,CU,matched,,24,0.6666666666666666,0.5883739583333333,0.07829270833333335,0.07829270833333335,12.04,11,Avoid / Overpriced,Strong Negative,market has historically overpriced similar buckets,Pass,no single dominant edge,Downgrade,Neutral,Avoid/Fade,Neutral,Fair,Covered,balanced PA path,True
2026-07-16,Francisco Lindor,NYM,PHI,DraftKings,-197,PropLine,-191,-197,-6,8,3.21,False,Lineup Wait,,Aaron Nola,4.36,0.6311,0.6454,0.6504,0.5661,0.6204,0.6704,0.6211,0.5833,-0.0322,Pass,Pass,0.6632996632996633,-171,436,0.578,0.6016,-0.0236,-0.0236,0.025667500000000017,CU,matched,,16,0.625,0.61148203125,0.013517968749999998,0.013517968749999998,15.03,8,Avoid / Overpriced,Strong Negative,market has historically overpriced similar buckets,Pass,no single dominant edge,Downgrade,Neutral,Avoid/Fade,Neutral,Overpriced,Covered,balanced PA path,True
2026-07-16,Jared Young,NYM,PHI,DraftKings,-159,PropLine,-139,-159,-20,8,4.2,False,Lineup Wait,,Aaron Nola,4.25,0.6203,0.6345,0.645,0.5553,0.5633,0.6651,0.6071,0.5339,0.0064,Pass,Pass,0.6138996138996139,-163,436,0.578,0.6016,-0.0236,-0.0236,,,missing player/pitcher pitch mix,,32,0.5,0.585199609375,-0.08519960937500004,-0.08,13.86,10,Avoid / Overpriced,Strong Negative,market has historically overpriced similar buckets,Pass,no single dominant edge,Downgrade,Neutral,Avoid/Fade,Neutral,Fair,Covered,balanced PA path,True
2026-07-16,Jorge Polanco,NYM,PHI,DraftKings,-167,PropLine,-162,-167,-5,8,5.0,False,Lineup Wait,,Aaron Nola,4.15,0.5843,0.6077,0.6196,0.5193,0.6012,0.6422,0.5809,0.5455,-0.0412,Pass,Pass,0.6254681647940075,-141,436,0.578,0.6016,-0.0236,-0.0236,-0.06737339901477835,CU,matched,,4,0.5,0.5675749999999999,-0.06757499999999994,-0.03378749999999997,20.59,4,Avoid / Overpriced,Strong Negative,market has historically overpriced similar buckets,Pass,no single dominant edge,Downgrade,Neutral,Avoid/Fade,Weak,Overpriced,Covered,balanced PA path,True
2026-07-16,Juan Soto,NYM,PHI,DraftKings,-235,PropLine,-233,-235,-2,8,2.67,False,Lineup Wait,,Aaron Nola,4.42,0.6621,0.6655,0.6616,0.5996,0.6458,0.6848,0.6485,0.6215,-0.0394,Pass,Pass,0.7014925373134329,-196,436,0.578,0.6016,-0.0236,-0.0236,0.09866485745614037,CU,matched,,48,0.6875,0.6379309895833333,0.049569010416666726,0.049569010416666726,11.73,12,Avoid / Overpriced,Strong Negative,market has historically overpriced similar buckets,Pass,no single dominant edge,Downgrade,Improving,Avoid/Fade,Neutral,Overpriced,Covered,balanced PA path,True
2026-07-16,Alec Bohm,PHI,NYM,DraftKings,-206,PropLine,-213,-206,7,8,4.41,False,Lineup Wait,,Christian Scott,4.23,0.521,0.5968,0.6188,0.4614,0.5587,0.6377,0.537,0.5932,-0.1522,Pass,Pass,0.673202614379085,-109,334,0.5749,0.6177,-0.0428,-0.04,-0.08909569672131144,FF,matched,,49,0.673469387755102,0.5837328231292517,0.08973656462585033,0.08,17.0,7,Avoid / Overpriced,Strong Negative,market has historically overpriced similar buckets,Pass,no single dominant edge,Downgrade,Cold/Weak,Avoid/Fade,Weak,Overpriced,Covered,balanced PA path,True
