pick_date,sharpie_rank,player,team,opponent,odds,allocation,bet_status,actual_hit,actual_hits,profit,roi
2026-05-21,1,Andrés Chaparro,WSH,NYM,-115.0,66.0,,0.0,0.0,-66.0,-1.0
2026-05-21,2,James Wood,WSH,NYM,-216.0,15.0,,1.0,1.0,6.944444444444445,0.46296296296296297
2026-05-21,3,Oneil Cruz,PIT,STL,-195.0,19.0,,1.0,1.0,9.743589743589743,0.5128205128205128
2026-05-22,1,Yordan Alvarez,HOU,CHC,-230.0,60.0,Locked,1.0,1.0,26.08695652173913,0.43478260869565216
2026-05-22,2,Oneil Cruz,PIT,TOR,-161.0,40.0,Locked,0.0,0.0,-40.0,-1.0
2026-05-23,1,Yordan Alvarez,HOU,CHC,-228.0,48.0,Locked,0.0,0.0,-48.0,-1.0
2026-05-23,2,Kyle Schwarber,PHI,CLE,-159.0,10.0,Locked,0.0,0.0,-10.0,-1.0
2026-05-23,3,Chase DeLauter,CLE,PHI,-167.0,4.0,Locked,1.0,1.0,2.395209580838323,0.5988023952095808
2026-05-24,1,Ben Rice,NYY,TB,-183.0,21.0,Locked,0.0,0.0,-21.0,-1.0
2026-05-24,2,Jonathan Aranda,TB,NYY,-154.0,39.0,Locked,1.0,1.0,25.324675324675326,0.6493506493506493
2026-05-24,3,Brice Turang,MIL,LAD,-191.0,2.0,Locked,1.0,1.0,1.0471204188481675,0.5235602094240838
2026-05-25,1,Michael Conforto,CHC,PIT,-155.0,21.0,Locked,0.0,0.0,-21.0,-1.0
2026-05-25,2,Brice Turang,MIL,STL,-230.0,5.0,Locked,0.0,0.0,-5.0,-1.0
2026-05-25,3,Alec Burleson,STL,MIL,-149.0,9.0,Locked,0.0,0.0,-9.0,-1.0
2026-05-26,1,James Wood,WSH,CLE,-191.0,42.0,Locked,1.0,3.0,21.98952879581152,0.5235602094240838
2026-05-26,2,Joc Pederson,TEX,HOU,-145.0,35.0,Locked,1.0,1.0,24.13793103448276,0.6896551724137931
2026-05-26,3,Yordan Alvarez,HOU,TEX,-233.0,14.0,Locked,1.0,2.0,6.008583690987125,0.42918454935622324
2026-05-27,1,James Wood,WSH,CLE,-170.0,60.0,Locked,1.0,1.0,35.294117647058826,0.5882352941176471
2026-05-27,2,Carlos Cortes,ATH,SEA,-198.0,3.0,Locked,1.0,1.0,1.5151515151515151,0.5050505050505051
2026-05-27,3,Jesús Sánchez,TOR,MIA,-138.0,3.0,Locked,0.0,0.0,-3.0,-1.0
2026-05-28,1,Mike Trout,LAA,DET,-196.0,21.0,Locked,,,,
2026-05-28,2,Munetaka Murakami,CWS,MIN,-168.0,22.0,Locked,,,,
2026-05-28,3,Sam Antonacci,CWS,MIN,-234.0,7.0,Locked,,,,
