pick_date,parlay_rank,bet_status,parlay_lock_rule,earliest_minutes_to_game,leg1_player,leg1_team,leg1_opponent,leg1_odds,leg1_probability,leg1_lineup_slot,leg1_projected_pa,leg2_player,leg2_team,leg2_opponent,leg2_odds,leg2_probability,leg2_lineup_slot,leg2_projected_pa,combined_decimal_odds,combined_american_odds,parlay_probability,parlay_ev_per_dollar,recommended_stake,expected_profit,confidence,parlay_score,selection_pool,correlation_note,why_sharpie_likes_it,sharpie_concern,actual_leg1_hit,actual_leg2_hit,actual_parlay_hit,profit
2026-05-21,1,Forced Top 3 Test,Parlay game-time check unavailable; keep as watchlist until start times refresh.,,Andrés Chaparro,WSH,NYM,-115.0,0.6671125,3.0,4.3,Oneil Cruz,PIT,STL,-195.0,0.7075749999999998,1.0,4.62,2.8283166109253064,183,0.4720321271874999,0.33505630621481286,10.0,3.3505630621481286,High,99.54787952460629,Sharpie Top 3 Only,Different-game legs: cleaner risk split and lower shared downside.,"Sharpie Top 3 Only: Andrés Chaparro and Oneil Cruz both clear the probability, PA, lineup-slot, and model-agreement gates. Combined price is +183 with modeled success near 47.2%.","Two-leg hit parlays compound baseball variance, so Sharpie only stakes this when the combined EV clears the hurdle. Different-game legs: cleaner risk split and lower shared downside.",0.0,1.0,0.0,-10.0
2026-05-22,1,Forced Top 3 Test,Parlay game-time check unavailable; keep as watchlist until start times refresh.,,Oneil Cruz,PIT,TOR,-161.0,0.7010375,1.0,4.62,Yordan Alvarez,HOU,CHC,-230.0,0.7238249999999999,3.0,4.38,2.3259519308668644,133,0.5074284684374999,0.18025422593901863,10.0,1.8025422593901863,Medium,85.54541538452685,Sharpie Top 3 Only,Different-game legs: cleaner risk split and lower shared downside.,"Sharpie Top 3 Only: Oneil Cruz and Yordan Alvarez both clear the probability, PA, lineup-slot, and model-agreement gates. Combined price is +133 with modeled success near 50.7%.","Two-leg hit parlays compound baseball variance, so Sharpie only stakes this when the combined EV clears the hurdle. Different-game legs: cleaner risk split and lower shared downside.",0.0,1.0,0.0,-10.0
2026-05-23,1,Forced Top 3 Test,Parlay game-time check unavailable; keep as watchlist until start times refresh.,,Kyle Schwarber,PHI,CLE,-159.0,0.6537625,2.0,4.42,Yordan Alvarez,HOU,CHC,-228.0,0.7375125,3.0,4.38,2.3433741586671077,134,0.48215801578125,0.12987663457598875,10.0,1.2987663457598875,Medium,77.23872456228638,Sharpie Top 3 Only,Different-game legs: cleaner risk split and lower shared downside.,"Sharpie Top 3 Only: Kyle Schwarber and Yordan Alvarez both clear the probability, PA, lineup-slot, and model-agreement gates. Combined price is +134 with modeled success near 48.2%.","Two-leg hit parlays compound baseball variance, so Sharpie only stakes this when the combined EV clears the hurdle. Different-game legs: cleaner risk split and lower shared downside.",0.0,0.0,0.0,-10.0
2026-05-24,1,Forced Top 3 Test,Parlay game-time check unavailable; keep as watchlist until start times refresh.,,Brice Turang,MIL,LAD,-191.0,0.6766625,2.0,4.42,Jonathan Aranda,TB,NYY,-154.0,0.671025,2.0,4.5,2.5128850207384237,151,0.4540574540625,0.14099417486828114,10.0,1.4099417486828114,Medium,76.88343927120312,Sharpie Top 3 Only,Different-game legs: cleaner risk split and lower shared downside.,"Sharpie Top 3 Only: Brice Turang and Jonathan Aranda both clear the probability, PA, lineup-slot, and model-agreement gates. Combined price is +151 with modeled success near 45.4%.","Two-leg hit parlays compound baseball variance, so Sharpie only stakes this when the combined EV clears the hurdle. Different-game legs: cleaner risk split and lower shared downside.",1.0,1.0,1.0,15.128850207384236
2026-05-25,1,Forced Top 3 Test,Parlay game-time check unavailable; keep as watchlist until start times refresh.,,Brice Turang,MIL,STL,-230.0,0.7064127651008032,2.0,4.42,Michael Conforto,CHC,PIT,-155.0,0.620475,5.0,4.15,2.3604488078541372,136,0.43831146042592084,0.03461176423117074,10.0,0.3461176423117074,Watchlist,58.14297865293153,Sharpie Top 3 Only,Different-game legs: cleaner risk split and lower shared downside.,"Sharpie Top 3 Only: Brice Turang and Michael Conforto both clear the probability, PA, lineup-slot, and model-agreement gates. Combined price is +136 with modeled success near 43.8%.","Two-leg hit parlays compound baseball variance, so Sharpie only stakes this when the combined EV clears the hurdle. Different-game legs: cleaner risk split and lower shared downside.",0.0,0.0,0.0,-10.0
2026-05-26,1,Forced Top 3 Test,Parlay game-time check unavailable; keep as watchlist until start times refresh.,,James Wood,WSH,CLE,-191.0,0.6849884851535121,1.0,4.62,Yordan Alvarez,HOU,TEX,-233.0,0.7212952965574666,3.0,4.38,2.1774487113228322,118,0.4940789725372523,0.07583162204294902,10.0,0.7583162204294902,Watchlist,72.16869028190257,Sharpie Top 3 Only,Different-game legs: cleaner risk split and lower shared downside.,"Sharpie Top 3 Only: James Wood and Yordan Alvarez both clear the probability, PA, lineup-slot, and model-agreement gates. Combined price is +118 with modeled success near 49.4%.","Two-leg hit parlays compound baseball variance, so Sharpie only stakes this when the combined EV clears the hurdle. Different-game legs: cleaner risk split and lower shared downside.",1.0,1.0,1.0,11.774487113228322
2026-05-27,1,Forced Top 3 Test,Parlay game-time check unavailable; keep as watchlist until start times refresh.,,Carlos Cortes,ATH,SEA,-198.0,0.6879282266448944,1.0,4.54,James Wood,WSH,CLE,-170.0,0.695057257170729,1.0,4.62,2.3903743315508024,139,0.4781495063421239,0.14295630660390057,10.0,1.4295630660390057,Medium,77.76609610433873,Sharpie Top 3 Only,Different-game legs: cleaner risk split and lower shared downside.,"Sharpie Top 3 Only: Carlos Cortes and James Wood both clear the probability, PA, lineup-slot, and model-agreement gates. Combined price is +139 with modeled success near 47.8%.","Two-leg hit parlays compound baseball variance, so Sharpie only stakes this when the combined EV clears the hurdle. Different-game legs: cleaner risk split and lower shared downside.",1.0,1.0,1.0,13.903743315508024
2026-05-28,1,Forced Top 3 Test,Parlay game-time check unavailable; keep as watchlist until start times refresh.,,Mike Trout,LAA,DET,-196.0,0.6721417734206618,2.0,4.5,Sam Antonacci,CWS,MIN,-234.0,0.7091440363458386,1.0,4.54,2.155590441304727,116,0.4766453302001782,0.027452117672039478,10.0,0.2745211767203948,Watchlist,65.11038488121642,Sharpie Top 3 Only,Different-game legs: cleaner risk split and lower shared downside.,"Sharpie Top 3 Only: Mike Trout and Sam Antonacci both clear the probability, PA, lineup-slot, and model-agreement gates. Combined price is +116 with modeled success near 47.7%.","Two-leg hit parlays compound baseball variance, so Sharpie only stakes this when the combined EV clears the hurdle. Different-game legs: cleaner risk split and lower shared downside.",1.0,1.0,1.0,11.555904413047271
2026-05-29,1,Forced Top 3 Test,Parlay game-time check unavailable; keep as watchlist until start times refresh.,,JJ Bleday,CIN,ATL,-153.0,0.6538428823601563,3.0,4.3,Luke Raley,SEA,AZ,-131.0,0.6335981742319249,5.0,4.07,2.9158808561592573,192,0.4142736564979343,0.20797262419342277,10.0,2.0797262419342277,Medium,83.29641837419769,Sharpie Top 3 Only,Different-game legs: cleaner risk split and lower shared downside.,"Sharpie Top 3 Only: JJ Bleday and Luke Raley both clear the probability, PA, lineup-slot, and model-agreement gates. Combined price is +192 with modeled success near 41.4%.","Two-leg hit parlays compound baseball variance, so Sharpie only stakes this when the combined EV clears the hurdle. Different-game legs: cleaner risk split and lower shared downside.",1.0,1.0,1.0,19.158808561592572
2026-05-30,1,Forced Top 3 Test,Parlay game-time check unavailable; keep as watchlist until start times refresh.,,Kevin McGonigle,DET,CWS,-189.0,0.6897853419457142,1.0,4.62,Yordan Alvarez,HOU,MIL,-222.0,0.7155447365294825,2.0,4.42,2.2178845512178844,122,0.49357227076444504,0.09468631423799323,10.0,0.9468631423799323,Medium,75.01869037731048,Sharpie Top 3 Only,Different-game legs: cleaner risk split and lower shared downside.,"Sharpie Top 3 Only: Kevin McGonigle and Yordan Alvarez both clear the probability, PA, lineup-slot, and model-agreement gates. Combined price is +122 with modeled success near 49.4%.","Two-leg hit parlays compound baseball variance, so Sharpie only stakes this when the combined EV clears the hurdle. Different-game legs: cleaner risk split and lower shared downside.",1.0,1.0,1.0,12.178845512178844
