date,roi_card_rank,player,team,opponent,odds,pa_path_rank,pa_path_hit_probability,actual_hit,profit
2026-05-21,1,Oneil Cruz,PIT,STL,-195,2,0.723,1,0.5128205128205128
2026-05-21,2,Ben Rice,NYY,TOR,-208,4,0.7194,1,0.4807692307692308
2026-05-21,3,James Wood,WSH,NYM,-216,5,0.7167,1,0.46296296296296297
2026-05-21,4,Brandon Lowe,PIT,STL,-194,7,0.7128,1,0.5154639175257731
2026-05-21,5,José Ramírez,CLE,DET,-227,9,0.7065,1,0.44052863436123346
2026-05-22,1,Carlos Cortes,ATH,SD,-204,1,0.7437,1,0.49019607843137253
2026-05-22,2,Sam Antonacci,CWS,SF,-228,2,0.7326,0,-1.0
2026-05-22,3,Kevin McGonigle,DET,BAL,-224,3,0.728,1,0.44642857142857145
2026-05-22,4,Jeremy Peña,HOU,CHC,-209,7,0.7216,1,0.4784688995215311
2026-05-22,5,Yordan Alvarez,HOU,CHC,-223,9,0.7176,1,0.4484304932735426
2026-05-23,1,Carlos Cortes,ATH,SD,-218,2,0.7378,1,0.45871559633027525
2026-05-23,2,Jeremy Peña,HOU,CHC,-235,4,0.7322,0,-1.0
2026-05-23,3,Yordan Alvarez,HOU,CHC,-236,5,0.728,0,-1.0
2026-05-23,4,JJ Bleday,CIN,STL,-231,6,0.7256,0,-1.0
2026-05-23,5,James Wood,WSH,ATL,-202,9,0.7223,1,0.49504950495049505
2026-05-24,1,Carlos Cortes,ATH,SD,-178,1,0.7334,1,0.5617977528089888
2026-05-24,2,James Wood,WSH,ATL,-230,4,0.7237,0,-1.0
2026-05-24,3,Kevin McGonigle,DET,BAL,-227,6,0.7176,1,0.44052863436123346
2026-05-24,4,Jake McCarthy,COL,AZ,-236,9,0.7136,1,0.423728813559322
2026-05-24,5,Travis Bazzana,CLE,PHI,-241,10,0.712,1,0.4149377593360996
2026-05-25,1,Jeremy Peña,HOU,TEX,-242,2,0.7296,1,0.4132231404958678
2026-05-25,2,Yordan Alvarez,HOU,TEX,-222,3,0.7254,1,0.45045045045045046
2026-05-25,3,James Wood,WSH,CLE,-216,5,0.721,1,0.46296296296296297
2026-05-25,4,Jake McCarthy,COL,LAD,-170,6,0.7158,0,-1.0
2026-05-25,5,Brice Turang,MIL,STL,-226,9,0.7137,0,-1.0
2026-05-26,1,Jeremy Peña,HOU,TEX,-241,1,0.7264,1,0.4149377593360996
2026-05-26,2,Yordan Alvarez,HOU,TEX,-233,4,0.7223,1,0.4291845493562232
2026-05-26,3,James Wood,WSH,CLE,-183,5,0.7208,1,0.546448087431694
2026-05-26,4,Elly De La Cruz,CIN,NYM,-216,7,0.72,1,0.46296296296296297
2026-05-26,5,Junior Caminero,TB,BAL,-238,10,0.7176,1,0.42016806722689076
2026-05-27,1,Yordan Alvarez,HOU,TEX,-206,1,0.7457,1,0.4854368932038835
2026-05-27,2,Ben Rice,NYY,KC,-241,2,0.7333,1,0.4149377593360996
2026-05-27,3,Carlos Cortes,ATH,SEA,-212,4,0.7306,1,0.4716981132075472
2026-05-27,4,James Wood,WSH,CLE,-170,6,0.7209,1,0.5882352941176471
2026-05-27,5,Jeremy Peña,HOU,TEX,-202,8,0.7207,1,0.49504950495049505
2026-05-28,1,Sam Antonacci,CWS,MIN,-179,2,0.7305,1,0.5586592178770949
2026-05-28,2,Jeremy Peña,HOU,TEX,-221,3,0.7283,1,0.45248868778280543
2026-05-28,3,Mike Trout,LAA,DET,-206,5,0.7092,1,0.4854368932038835
2026-05-28,4,Nathan Lukes,TOR,BAL,-231,6,0.7067,1,0.4329004329004329
2026-05-28,5,Ronald Acuña Jr.,ATL,BOS,-222,7,0.7061,1,0.45045045045045046
2026-05-29,1,Ben Rice,NYY,ATH,-240,4,0.7231,1,0.4166666666666667
2026-05-29,2,Sam Antonacci,CWS,DET,-239,5,0.7217,1,0.41841004184100417
2026-05-30,1,Yordan Alvarez,HOU,MIL,-218,1,0.7344,1,0.45871559633027525
2026-05-30,2,Kevin McGonigle,DET,CWS,-204,2,0.7336,1,0.49019607843137253
2026-05-30,3,Fernando Tatis Jr.,SD,WSH,-241,9,0.7164,1,0.4149377593360996
2026-05-30,4,Josh Jung,TEX,KC,-226,10,0.7142,1,0.4424778761061947
2026-05-31,1,Bobby Witt Jr.,KC,TEX,-241,2,0.7297,1,0.4149377593360996
2026-05-31,2,Yordan Alvarez,HOU,MIL,-177,4,0.7243,0,-1.0
2026-05-31,3,Carlos Cortes,ATH,NYY,-231,5,0.7239,1,0.4329004329004329
2026-05-31,4,Sam Antonacci,CWS,DET,-215,8,0.7193,0,-1.0
2026-05-31,5,Kevin McGonigle,DET,CWS,-229,9,0.7192,1,0.4366812227074236
2026-06-01,1,Kevin McGonigle,DET,TB,-221,1,0.7281,1,0.45248868778280543
2026-06-01,2,Sam Antonacci,CWS,MIN,-234,3,0.7277,1,0.42735042735042733
2026-06-01,3,Dillon Dingler,DET,TB,-182,5,0.724,1,0.5494505494505495
2026-06-01,4,Liam Hicks,MIA,WSH,-228,6,0.7212,1,0.43859649122807015
2026-06-01,5,JJ Bleday,CIN,KC,-241,8,0.717,1,0.4149377593360996
2026-06-02,1,Carlos Cortes,ATH,CHC,-201,1,0.7347,0,-1.0
2026-06-02,2,JJ Bleday,CIN,KC,-232,5,0.7235,0,-1.0
2026-06-02,3,Ben Rice,NYY,CLE,-188,8,0.7187,1,0.5319148936170213
2026-06-03,1,Carlos Cortes,ATH,CHC,-236,1,0.7448,1,0.423728813559322
2026-06-03,2,Bobby Witt Jr.,KC,CIN,-244,4,0.722,1,0.4098360655737705
2026-06-03,3,Yordan Alvarez,HOU,PIT,-204,6,0.7218,1,0.49019607843137253
2026-06-03,4,Kevin McGonigle,DET,TB,-222,8,0.72,1,0.45045045045045046
2026-06-03,5,Yohendrick Piñango,TOR,ATL,-155,9,0.719,1,0.6451612903225806
2026-06-04,1,Casey Schmitt,SF,MIL,-212,5,0.7163,1,0.4716981132075472
