date,captured_at_utc,start_utc,game_pk,player,team,opponent,version,probability,offered_odds,quote_provenance,decision,bet_status,rank,proposed_stake,lineup_confirmed,lineup_slot,actual_bet_odds,actual_bet_stake,closing_odds,conservative_probability,decimal_odds,estimated_ev,conservative_ev,minimum_decimal_price,minimum_american_price,price_pass,name_key,actual_hit,flat_unit_profit,proposed_profit,outcome_status
2026-09-09,2026-09-10T01:15:56.145533+00:00,2026-09-10T02:10:00+00:00,823900,Carlos Jorge,CIN,LAD,price-decision-v1,0.6121501187378345,-143,Model snapshot; sportsbook quote age unverified,Not selected,Not selected,,0,True,1.0,,,,0.5821501187378345,1.6993006993006992,0.0402271248482082,-0.0107518961308127,1.769303083254803,-129.98778007871152,False,carlosjorge,,,,Pending
2026-09-09,2026-09-10T01:15:56.145533+00:00,2026-09-10T02:10:00+00:00,823900,Dane Myers,CIN,LAD,price-decision-v1,0.6187753208704907,-174,Model snapshot; sportsbook quote age unverified,Not selected,Not selected,,0,False,2.47,,,,0.5887753208704907,1.5747126436781609,-0.0256066786292272,-0.0728480579395721,1.7493939767671798,-133.441157922554,False,danemyers,,,,Pending
2026-09-09,2026-09-10T01:15:56.145533+00:00,2026-09-10T02:10:00+00:00,823900,Elly De La Cruz,CIN,LAD,price-decision-v1,0.6614879398928362,-152,Model snapshot; sportsbook quote age unverified,Not selected,Not selected,,0,True,2.0,,,,0.6314879398928361,1.6578947368421053,0.0966773740328599,0.0469405319275968,1.6310683624057676,-158.46143770982056,True,ellydelacruz,,,,Pending
2026-09-09,2026-09-10T01:15:56.145533+00:00,2026-09-10T02:10:00+00:00,823900,Eugenio Suarez,CIN,LAD,price-decision-v1,0.5503277527478493,-135,Model snapshot; sportsbook quote age unverified,Not selected,Not selected,,0,False,4.58,,,,0.5203277527478493,1.7407407407407407,-0.0420220600315216,-0.0942442822537439,1.9795215507160115,-102.09065836979484,False,eugeniosuarez,,,,Pending
2026-09-09,2026-09-10T01:15:56.145533+00:00,2026-09-10T02:10:00+00:00,823900,Freddie Freeman,LAD,CIN,price-decision-v1,0.688158321558689,-275,Model snapshot; sportsbook quote age unverified,Not selected,Not selected,,0,False,3.01,,,,0.6581583215586889,1.3636363636363638,-0.0616022887836058,-0.1025113796926968,1.5649729954955125,-176.99961024206922,False,freddiefreeman,,,,Pending
2026-09-09,2026-09-10T01:15:56.145533+00:00,2026-09-10T02:10:00+00:00,823900,Héctor Rodríguez,CIN,LAD,price-decision-v1,0.5732039411958911,-138,Model snapshot; sportsbook quote age unverified,Not selected,Not selected,,0,True,5.0,,,,0.5432039411958911,1.7246376811594204,-0.0114308840244775,-0.0631700144592601,1.8961570818731592,-111.58757992625434,False,hectorrodriguez,,,,Pending
2026-09-09,2026-09-10T01:15:56.145533+00:00,2026-09-10T02:10:00+00:00,823900,JJ Bleday,CIN,LAD,price-decision-v1,0.6494402499049552,-143,Model snapshot; sportsbook quote age unverified,Not selected,Not selected,,0,True,4.0,,,,0.6194402499049552,1.6993006993006992,0.1035942708175112,0.0526152498384902,1.6627915285744506,-150.87700383721352,True,jjbleday,,,,Pending
2026-09-09,2026-09-10T01:15:56.145533+00:00,2026-09-10T02:10:00+00:00,823900,Matt McLain,CIN,LAD,price-decision-v1,0.5744374689572851,-114,Model snapshot; sportsbook quote age unverified,Not selected,Not selected,,0,False,2.67,,,,0.5444374689572851,1.8771929824561404,0.0783299855864825,0.0220141961127984,1.891860973442316,-112.12509906564246,False,mattmclain,,,,Pending
2026-09-09,2026-09-10T01:15:56.145533+00:00,2026-09-10T02:10:00+00:00,823900,Max Muncy,LAD,CIN,price-decision-v1,0.6630728243074998,-175,Model snapshot; sportsbook quote age unverified,Not selected,Not selected,,0,True,4.0,,,,0.6330728243074998,1.5714285714285714,0.0419715810546426,-0.0051712760882146,1.6269850172872091,-159.49344440904238,False,maxmuncy,,,,Pending
2026-09-09,2026-09-10T01:15:56.145533+00:00,2026-09-10T02:10:00+00:00,823900,Mookie Betts,LAD,CIN,price-decision-v1,0.6342149768459245,-299,Model snapshot; sportsbook quote age unverified,Not selected,Not selected,,0,True,3.0,,,,0.6042149768459245,1.334448160535117,-0.1536729907641341,-0.1937064355801877,1.704691276235364,-141.90611317657408,False,mookiebetts,,,,Pending
